ComunaSubida,ComunaBajada,suma_ViajeLaboralPromedio,suma_Viajes1Etapa,suma_Viajes2Etapas,suma_Viajes3Etapas,suma_Viajes4Etapas,suma_Viajes5oMasEtapas,suma_ViajesUsanMetro,suma_ViajesUsanMetroTren,suma_ViajesSoloMetro,suma_ViajesSoloBus
MAIPU,HUECHURABA,768.8492292469,0.0,339.5719702826,422.6150649122,6.6621943712,0.0,732.6683409687,0.0,0.0,36.1808848674
MAIPU,INDEPENDENCIA,668.3750666424,0.0,335.4679417612,327.1084165453,5.7986995277,0.0,578.8094928352,0.0,0.0,89.5655742835
MAIPU,LA CISTERNA,1209.6325239413,725.5050722985,419.8912691403,62.9245482374,1.3116342127,0.0,542.2802504264,0.7755485475,335.7485271794,667.3522629373
MAIPU,LA FLORIDA,2211.9633810549,1065.0419503292,960.4029933744,183.5117721894,2.7441210448,0.262530297,1884.5419922411,0.0,913.448033114,327.4213754969
MAIPU,LA GRANJA,167.6161671263,42.6997917613,83.1459381862,40.6749182948,1.0955210627,0.0,85.2015594824,0.0,21.0190400766,82.4146082697
MAIPU,LA PINTANA,280.189995499,0.0,170.093683683,104.9432597715,4.5973224638,0.5557321906,79.6004906292,0.828422606,0.0,200.589512084
MAIPU,LA REINA,1021.9662815814,238.5804194564,535.2047991667,244.91074537080002,3.270325005,0.0,945.9421310968,0.2725686431,237.6290173883,76.0241520997
MAIPU,LAS CONDES,10897.3938308714,3319.1134577892,6130.5597580912,1428.6455571505,18.2744728925,0.8006383180000001,9641.578691453,0.0,2853.006464391,1255.8152338488
MAIPU,LO BARNECHEA,406.6458353414,0.0,117.9579407916,278.5933404979,10.0945590436,0.0,339.2763533791,0.0,0.0,67.3694872837
MAIPU,LO ESPEJO,1068.6138526907,572.2436867168,415.1608503007,78.9709596352,2.2383763491,0.0,20.553132117,0.2662025392,0.0,1048.0607320707
MAIPU,LO PRADO,4652.313448721,3130.2385829247,1421.6062040993,99.29250872,1.1760939955,0.0,3910.970239319,0.294727087,2538.305332591,741.343180429
MAIPU,MACUL,2502.20735282,1066.203459708,1259.9786130232999,172.2279635297,3.7973189353,0.0,2415.9374976244,0.0,1060.682300048,86.2698637826
MAIPU,MAIPU,90165.4309627016,79700.4854206506,9964.9372159834,491.4307426694,8.3060151336,0.2725686133,8193.916337409,0.0,5752.4643579,81971.5150115016
MAIPU,NUNOA,6236.8490993441,2382.9405025285,2966.6340388182,872.1102322542,14.3354341387,0.8289478719,5222.9783638657,0.2683519125,1788.433311011,1013.8708371371
MAIPU,PEDRO AGUIRRE CERDA,832.1610028627,367.30831957099997,386.6120514613,77.12975591200001,1.1108765304000001,0.0,165.2084881417,0.2963532209,64.72892156260001,666.9525077227
MAIPU,PENALOLEN,991.1779309679,346.1428898544,449.3437652106,191.0024738072,4.1366246939,0.5521847903,719.734735027,0.0,183.2246138936,271.4432016619
MAIPU,PROVIDENCIA,23249.8787115639,9190.8788973058,13368.0052861739,678.4771283889,11.4190683361,1.0983859896000001,22269.920192272,0.5537526607000001,8616.11461548,979.9584412588999
MAIPU,PUDAHUEL,9286.5249716233,5570.5464064592,3030.3714917366,676.314201387,9.2928847672,0.0,7201.73863239,0.0,4081.900229045,2084.7863654643
MAIPU,PUENTE ALTO,1143.9912843865,453.894935139,529.9509998765,154.364729994,5.513616770800001,0.2670071423,1095.1315752287,0.0,453.894935139,48.8597087541
MAIPU,QUILICURA,686.5033781728,129.2647073296,334.2343054712,215.6220294902,7.3823361097,0.0,284.1891458445,0.0,0.0,402.3142321258
